WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
WARN  | vscode-loader: Manifest C:\Users\Dozzer\AppData\Local\nvim-data\lazy\nvim-ufo\package.json does not contribute any snippets.
